YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1992,3874,3904,3916,3958,3981,3992,4081,4048,4098,4186,4118,4248
1993,4395,4343,4383,4460,4485,4567,4642,4667,4729,4710,4741,4794
1994,4837,4949,5052,5090,5185,5313,5330,5411,5508,5635,5753,5834
1995,5892,5827,5849,5733,5956,6000,5965,6159,6141,6212,6263,6281
1996,6191,6248,6365,6373,6428,6334,6234,6340,6438,6428,6356,6305
1997,6128,6370,6360,6456,6400,6440,6525,6541,6559,6572,6628,6659
1998,6776,6797,6788,6766,6829,6921,6960,7047,6954,6940,7000,6964
1999,7000,7024,7116,7195,7230,7286,7378,7281,7410,7400,7350,7498
2000,7605,7674,7652,7813,7611,7435,7397,7440,7588,7416,7392,7346
2001,7376,7334,7267,7212,7135,7246,7298,7276,7141,7237,7662,7825
2002,7604,7643,7690,7616,7678,7656,7543,7520,7511,7522,7545,7660
2003,7439,7354,7364,7440,7563,7650,7731,7914,7909,7984,8030,8127
2004,8104,8080,8117,8218,8241,8297,8337,8335,8422,8494,8479,8513
2005,8555,8765,8784,8820,8775,8828,8877,8868,8955,9047,8965,8889
2006,9395,9101,9185,9165,9132,9130,9126,9124,9158,8953,9158,9478
2007,9229,9123,9026,9008,9090,9023,9088,9274,9174,9293,9562,9368
2008,9175,9196,9171,9286,9530,9305,9329,9201,8814,8732,8737,8351
2009,8884,8844,8099,8049,8026,8039,7965,8000,7965,7920,8208,8068
2010,8223,8491,8139,8270,8384,8483,8361,8320,8402,8265,8093,8269
2011,8236,8356,8468,8529,8407,8439,8548,8615,8465,8825,8638,8456
2012,8504,8547,8707,8569,8713,8640,8741,8638,8628,8350,8660,8811
2013,8801,8863,8613,8656,8651,8664,8594,8588,8522,8630,8550,8451
2014,8495,8521,8556,8532,8406,8321,8403,8469,8634,8592,8904,8761
2015,8619,8488,8266,8391,8432,8505,8351,8354,8369,8273,8205,8121
2016,7950,8050,7879,7872,7908,7879,7922,8010,7713,7618,7534,7599
2017,7682,7613,7796,7865,7739,7651,7582,7576,7645,7695,7904,7798
2018,7840,7942,7867,7941,7907,7944,7843,7898,7753,7797,7770,7669
2019,7711,7615,7630,7467,7624,7570,7607,7560,7560,7500,7534,7584
2020,7429,7327,6005,3364,4137,5834,6652,6754,6565,6998,6730,6471
2021,7286,6982,8190,8255,8088,8410,8270,7962,7854,8349,7458,7410
2022,7454,7580,8216,8459,8056,7864,7984,7895,7835,7800,7176,7087
2023,8032,7723,7788,7622,7711,7771,7576,7647,7798,7767,7553,7288
2024,7605,7968,7611,7810,7938,7821,7831,7640,7421,7646,7681,7650
2025,7569,7544,,,,,,,,,,
